geoid,GEOID10,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US06037128302,6037128302,"Census Tract 1283.02, Los Angeles, CA",1498,65,186,65,1312,88
14000US06037128303,6037128303,"Census Tract 1283.03, Los Angeles, CA",1160,60,35,36,1125,69
14000US06037128400,6037128400,"Census Tract 1284, Los Angeles, CA",1724,60,894,105,830,125
14000US06037128500,6037128500,"Census Tract 1285, Los Angeles, CA",1992,92,697,86,1295,121
14000US06037128601,6037128601,"Census Tract 1286.01, Los Angeles, CA",1628,109,365,87,1263,137
14000US06037128602,6037128602,"Census Tract 1286.02, Los Angeles, CA",1398,70,724,95,674,85
14000US06037128702,6037128702,"Census Tract 1287.02, Los Angeles, CA",2731,170,981,160,1750,187
14000US06037128801,6037128801,"Census Tract 1288.01, Los Angeles, CA",1818,113,501,98,1317,126
14000US06037128802,6037128802,"Census Tract 1288.02, Los Angeles, CA",2022,148,702,121,1320,181
14000US06037128910,6037128910,"Census Tract 1289.10, Los Angeles, CA",1954,77,884,128,1070,127
14000US06037131010,6037131010,"Census Tract 1310.10, Los Angeles, CA",1999,85,422,103,1577,109
14000US06037131020,6037131020,"Census Tract 1310.20, Los Angeles, CA",1697,56,879,120,818,112
14000US06037131100,6037131100,"Census Tract 1311, Los Angeles, CA",1040,46,961,64,79,52
14000US06037131200,6037131200,"Census Tract 1312, Los Angeles, CA",1212,60,879,85,333,88
14000US06037131300,6037131300,"Census Tract 1313, Los Angeles, CA",1216,58,870,103,346,88
14000US06037131400,6037131400,"Census Tract 1314, Los Angeles, CA",1935,72,892,104,1043,105
14000US06037131600,6037131600,"Census Tract 1316, Los Angeles, CA",1450,86,1045,141,405,123
14000US06037131701,6037131701,"Census Tract 1317.01, Los Angeles, CA",1828,45,807,111,1021,110
14000US06037131702,6037131702,"Census Tract 1317.02, Los Angeles, CA",1123,72,786,109,337,87
14000US06037131800,6037131800,"Census Tract 1318, Los Angeles, CA",1638,102,614,98,1024,133
14000US06037131900,6037131900,"Census Tract 1319, Los Angeles, CA",1386,69,1063,128,323,116
14000US06037132001,6037132001,"Census Tract 1320.01, Los Angeles, CA",1162,79,726,85,436,85
14000US06037132002,6037132002,"Census Tract 1320.02, Los Angeles, CA",1112,49,658,100,454,101
14000US06037132101,6037132101,"Census Tract 1321.01, Los Angeles, CA",1579,95,595,108,984,131
14000US06037132102,6037132102,"Census Tract 1321.02, Los Angeles, CA",2157,118,931,186,1226,183
